crew_id,name,rank,vehicle_qualified
ARC-001,Brigadier Arjun Singh,Brigadier,T-90 Bhishma
ARC-002,Colonel Vikram Sharma,Colonel,Arjun MBT Mk1A
ARC-003,Lt Col Rajan Nair,Lieutenant Colonel,BMP-2 Sarath
ARC-004,Major Pradeep Yadav,Major,K9 Vajra
ARC-005,Captain Suresh Patel,Captain,M777 Howitzer
ARC-006,Major Kiran Mehta,Major,Pinaka MLRS
ARC-007,Captain Deepak Joshi,Captain,HAL Rudra
ARC-008,Lt Col Amitabh Roy,Lieutenant Colonel,ALH Dhruv
ARC-009,Colonel Shyam Verma,Colonel,T-90 Bhishma
ARC-010,Major Ravi Gupta,Major,BMP-2 Sarath
ARC-011,Brigadier Manish Tiwari,Brigadier,Arjun MBT Mk1A
ARC-012,Captain Sunita Rao,Captain,K9 Vajra
ARC-013,Major Pooja Agarwal,Major,Smerch MLRS
ARC-014,Lt Col Neha Sharma,Lieutenant Colonel,ALH Dhruv
ARC-015,Colonel Ankit Kumar,Colonel,T-90 Bhishma
ARC-016,Major Rohit Mishra,Major,BMP-2 Sarath
ARC-017,Captain Gaurav Sinha,Captain,HAL Rudra
ARC-018,Lt Col Anil Pandey,Lieutenant Colonel,Pinaka MLRS
ARC-019,Colonel Vijay Chauhan,Colonel,M777 Howitzer
ARC-020,Major Rahul Desai,Major,K9 Vajra
